"Sampling 
date","Sampling 
area",Crab ID,"# of eggs 
counted  ","Weight (Sub-
sample)",Total weight,"Develop. 
(1-13)",Comments
Aug-18,Zone 19,74,,0.0329,3.4313,9,
Aug-18,Zone 19,75,,0.0332,5.4052,0,
Aug-18,Zone 19,76,,0.0308,4.6552,8,
Aug-18,Zone 19,77,,,,8,
Aug-18,Zone 19,78,,,,0,
Aug-18,Zone 19,79,,,,"10,9","80%,20%"
Aug-18,Zone 19,80,,,,9,
Aug-18,Zone 19,81,,0.0328,5.9067,0,
Aug-18,Zone 19,82,,0.0313,3.6878,9,dropped a few eggs
Aug-18,Zone 19,83,,,,8,
Aug-18,Zone 19,84,,,,9,
Aug-18,Zone 19,85,,,,0,
Aug-18,Zone 19,86,,0.0295,4.7646,9,
Aug-18,Zone 19,87,,,,0,
Aug-18,Zone 19,88,,0.0302,3.2949,0,
Aug-18,Zone 19,89,,,,9,
Aug-18,Zone 19,90,,0.0325,2.7582,"4,0","40%,60%"
Aug-18,Zone 19,91,,,,8,
Aug-18,Zone 19,92,,,,0,
Aug-18,Zone 19,93,,,,8,
Aug-18,Zone 19,94,,0.0323,3.0522,9,
Aug-18,Zone 19,95,,0.0332,3.15,0,
Aug-18,Zone 19,96,,,,8,
Aug-18,Zone 19,97,,0.0304,2.1237,9,
Aug-18,Zone 19,98,,0.0294,2.6613,8,
Aug-18,Zone 19,99,,0.0343,3.7534,8,
Aug-18,Zone 19,100,,,,0,
Aug-18,Zone 19,101,,0.0328,2.9546,9,
Aug-18,Zone 19,102,,0.0331,2.0678,0,
Aug-18,Zone 19,103,,0.0285,2.3061,8,
Aug-18,Zone 19,104,,,,0,
Aug-18,Zone 19,105,,0.03,2.7495,0,
Aug-18,Zone 19,106,,,,8,
Aug-18,Zone 19,107,,0.0314,5.2241,8,
Aug-18,Zone 19,108,,0.0315,3.6478,0,
Aug-18,Zone 19,109,,0.028,4.5365,"8,9","80%,20%"
Aug-18,Zone 19,110,,0.0348,4.675,0,
Aug-18,Zone 19,111,,0.0345,5.0854,0,
Aug-18,Zone 19,112,,0.0365,2.9717,0,
Aug-18,Zone 19,113,,0.0297,2.1144,0,
Aug-18,Zone 19,114,,0.0277,2.2062,8,
Aug-18,Zone 19,115,,0.0304,3.7838,9,
Aug-18,Zone 19,116,,0.0285,4.9894,8,
Aug-18,Zone 19,117,,0.0297,3.7621,,
Aug-18,Zone 19,118,,0.0272,3.674,8,
Aug-18,Zone 19,119,,0.0302,6.5204,9,
Aug-18,Zone 19,120,,0.0268,1.1948,8,
Aug-18,Zone 19,121,,0.0304,3.5635,0,
Aug-18,Zone 19,122,,0.0287,3.0611,8,
Aug-18,Zone 19,123,,0.0278,3.282,9,
Aug-18,Zone 19,124,,0.0292,2.4331,8,
Aug-18,Zone 19,125,,0.0315,2.8209,0,
Aug-18,Zone 19,126,,0.03,2.722,8,
Aug-18,Zone 19,127,,0.0316,3.5898,8,
Aug-18,Zone 19,128,,0.0289,2.5429,8,dropped a few eggs
Aug-18,Zone 19,129,,0.0303,2.6562,0,
Aug-18,Zone 19,130,,0.0297,2.4578,8,
Aug-18,Zone 19,131,,0.0294,2.4567,9,
Aug-18,Zone 19,132,,0.0277,2.2976,8,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
