"date.sampled","date.measured","location","vessel","sampler","crab.number","sex","shell.condition","carapace.width","abdomen.width","egg.colour","eggs.remaining","gonad.colour","missing.legs","maturity","barnacles","egg.colour.l","egg.colour.a","egg.colour.b","gonad.colour.l","gonad.colour.a","gonad.colour.b","hepato.colour.l","hepato.colour.a","hepato.colour.b","comment","crab.weight","gonad.weight","hepato.weight"
"2021-07-13","2021-07-14","From Snow Crab Survey","Avalon Voyager II","Allain; Moriyasu; Klandry",44,2,4,70.67,45.47,"orange",100,"beige","*111******","multiparous","3",45.94,25.29,28.31,62.85,8.85,28.63,29.36,4.04,-1.74,"",113,1.4366,"4.7839"
"2021-07-13","2021-07-14","From Snow Crab Survey","Avalon Voyager II","Allain; Moriyasu; Klandry",45,2,4,65.69,47.73,"orange",100,"orange","********1*","multiparous","",41.44,24.3,22.8,54.76,33.59,42.78,45.48,3.75,18.11,"",107.1,5.8277,"5.2972"
"2021-07-13","2021-07-14","From Snow Crab Survey","Avalon Voyager II","Allain; Moriyasu; Klandry",46,2,4,62.74,43.83,"orange",100,"light orange","**1*******","multiparous","3",47.29,28.46,33.14,59.54,29.34,42.13,42.29,4.84,12.71,"",84.2,2.0441,"5.1904"
"2021-07-13","2021-07-14","From Snow Crab Survey","Avalon Voyager II","Allain; Moriyasu; Klandry",47,2,4,55.71,38.67,"orange",100,"orange","**********","multiparous","1",44.96,22.26,25.81,55.14,29.93,43.53,48.68,3.2,18.05,"",73.7,4.1771,"4.3302"
"2021-07-13","2021-07-14","From Snow Crab Survey","Avalon Voyager II","Allain; Moriyasu; Klandry",48,2,4,59.14,39.37,"orange",100,"light orange","**********","multiparous","",48.68,25.35,34.05,58.48,26.28,39.91,46.8,3.76,19.56,"",75.1,1.8215,"5.12"
"2021-07-13","2021-07-14","From Snow Crab Survey","Avalon Voyager II","Allain; Moriyasu; Klandry",49,2,4,60.37,NA,"orange",100,"light orange","***1**1***","multiparous","5",49,26.59,35.01,59.56,20.62,35.73,38.05,4.88,9.25,"",81.8,1.3839,"3.5697"
"2021-07-13","2021-07-14","From Snow Crab Survey","Avalon Voyager II","Allain; Moriyasu; Klandry",50,2,4,64.31,45.33,"orange",100,"light orange","*1*******1","multiparous","",44.81,26.98,28.6,54.39,23.58,35.56,39.79,5.16,11.33,"",92,2.2801,"5.6087"
"2021-07-13","2021-07-14","From Snow Crab Survey","Avalon Voyager II","Allain; Moriyasu; Klandry",51,2,4,63.03,44.61,"orange",100,"light orange","**********","multiparous","",49.38,27.13,34.32,61.13,21.34,35.95,37.47,2.47,9.18,"",105.7,1.3983,"4.2924"
"2021-07-13","2021-07-14","From Snow Crab Survey","Avalon Voyager II","Allain; Moriyasu; Klandry",52,2,4,54.11,36.85,"orange",100,"orange","*1********","multiparous","",46.51,27.57,30.59,55.91,30.38,42.33,43.5,7.08,15.33,"",59.3,1.0404,"4.0179"
"2021-07-13","2021-07-14","From Snow Crab Survey","Avalon Voyager II","Allain; Moriyasu; Klandry",53,2,4,49.98,32.38,"orange",100,"beige","*111******","multiparous","",48.04,27.58,32.52,62.31,12.48,31.25,44.05,6.22,17.06,"",45.1,0.5133,"2.548"
"2021-07-13","2021-07-14","From Snow Crab Survey","Avalon Voyager II","Allain; Moriyasu; Klandry",54,2,4,57.35,39.95,"orange",100,"light orange","*1**1*****","multiparous","2",47.22,26.67,33.58,58.89,22.6,36.79,37.64,6.98,14.22,"",70.3,1.1358,"3.3775"
"2021-07-13","2021-07-14","From Snow Crab Survey","Avalon Voyager II","Allain; Moriyasu; Klandry",55,2,4,50.95,37.53,"orange",100,"orange","**********","multiparous","",43.95,23.31,30.07,54.19,32.05,43.75,50.89,3.93,19.66,"",52.3,2.4584,"2.8295"
"2021-07-13","2021-07-14","From Snow Crab Survey","Avalon Voyager II","Allain; Moriyasu; Klandry",56,2,4,55.27,38.16,"orange",100,"orange","******1***","multiparous","2",44.1,26.64,30.9,56.07,36.84,50.86,52.16,5.65,24.21,"",57.7,3.3064,"3.9804"
"2021-07-13","2021-07-14","From Snow Crab Survey","Avalon Voyager II","Allain; Moriyasu; Klandry",57,2,4,59.99,42.88,"orange",100,"orange","****1*****","multiparous","2",47.25,23.14,32.26,57.13,33.39,47.8,46.17,5.59,17.64,"",81.6,4.1272,"5.181"
"2021-07-13","2021-07-14","From Snow Crab Survey","Avalon Voyager II","Allain; Moriyasu; Klandry",58,2,4,60.15,42.6,"orange",100,"orange","***1******","multiparous","",46.65,30.32,34.26,NA,NA,NA,41.55,7.19,17.53,"Gonad colorimetre missed",85.4,1.4373,"5.6213"
"2021-07-13","2021-07-14","From Snow Crab Survey","Avalon Voyager II","Allain; Moriyasu; Klandry",59,2,4,52,35.44,"orange",100,"orange","*******1**","multiparous","14",45.83,28.55,32.21,53.66,32.08,42.93,44.54,7.31,17.5,"",58.2,0.9262,"2.7634"
"2021-07-13","2021-07-14","From Snow Crab Survey","Avalon Voyager II","Allain; Moriyasu; Klandry",60,2,4,62.35,42.64,"orange",100,"light orange","**********","multiparous","10",44.05,28.19,31.97,60.71,20.01,36.39,36.76,6.31,11.46,"",102,1.77,"4.4115"
"2021-07-13","2021-07-14","From Snow Crab Survey","Avalon Voyager II","Allain; Moriyasu; Klandry",61,2,4,63.36,43.2,"orange",100,"orange","***1*****1","multiparous","3",43.4,23.65,29.66,56.85,33.52,49.45,49.14,5.38,21.51,"",94.9,4.2764,"5.6112"
"2021-07-13","2021-07-14","From Snow Crab Survey","Avalon Voyager II","Allain; Moriyasu; Klandry",62,2,4,55.24,40.79,"orange",100,"orange","*******1**","multiparous","",48.03,23.34,35.17,53.63,36.96,44.57,46.82,5.52,21.86,"",61,1.455,"4.2264"
"2021-07-13","2021-07-14","From Snow Crab Survey","Avalon Voyager II","Allain; Moriyasu; Klandry",63,2,4,60.82,43.21,"orange",100,"orange","**********","multiparous","",49.85,28.71,38.83,54.36,36.21,43.39,43.86,5.11,15.26,"",82,2.0253,"6.1016"
"2021-07-13","2021-07-14","From Snow Crab Survey","Avalon Voyager II","Allain; Moriyasu; Klandry",64,2,4,60.12,40.38,"orange",100,"orange","*1**1*****","multiparous","",49.14,25.13,35.54,58.2,17.89,30.59,41.68,6.79,13.9,"",73.1,1.3447,"4.3741"
"2021-07-13","2021-07-14","From Snow Crab Survey","Avalon Voyager II","Allain; Moriyasu; Klandry",65,2,4,51.06,34.33,"orange",100,"light orange","*1********","multiparous","",47.56,27.81,34.94,61.31,24.48,40.62,48.96,9.09,20.69,"",53.6,0.9064,"2.6888"
"2021-07-13","2021-07-14","From Snow Crab Survey","Avalon Voyager II","Allain; Moriyasu; Klandry",66,2,4,58.91,40.15,"orange",100,"orange","*1****1***","multiparous","19",43.16,25.74,27.44,56.11,35.24,46.45,48.04,7.61,18.82,"",77.2,3.5269,"4.2646"
"2021-07-13","2021-07-14","From Snow Crab Survey","Avalon Voyager II","Allain; Moriyasu; Klandry",67,2,4,62.13,45.22,"orange",100,"orange","*1*******1","multiparous","",48.48,29.55,36.44,55.99,32.74,42.68,44.98,7.16,16.8,"",87.9,1.6047,"5.8843"
"2021-07-13","2021-07-14","From Snow Crab Survey","Avalon Voyager II","Allain; Moriyasu; Klandry",68,2,4,62.09,43.79,"orange",100,"light orange","****1*1*1*","multiparous","",45.36,30.98,32.64,59.81,22.51,35.47,42.85,7.87,14.69,"",84.7,1.1763,"4.3596"
"2021-07-13","2021-07-14","From Snow Crab Survey","Avalon Voyager II","Allain; Moriyasu; Klandry",69,2,3,62.26,44.36,"orange",100,"orange","**********","multiparous","2+",43.29,31.26,27.11,53.79,40.15,43.61,45.85,7.41,22.55,"",86.9,2.556,"6.139"
"2021-07-13","2021-07-14","From Snow Crab Survey","Avalon Voyager II","Allain; Moriyasu; Klandry",70,2,3,61.8,44.62,"orange",100,"light orange","**********","multiparous","5",47.26,31.36,33.05,55.65,19.69,27.23,37.1,5.1,10.02,"",NA,1.422,"4.3315"
"2021-07-13","2021-07-14","From Snow Crab Survey","Avalon Voyager II","Allain; Moriyasu; Klandry",71,2,4,63.26,45.09,"orange",100,"orange","**********","multiparous","3",41.67,28.75,24.34,51.81,36.28,41.01,44.19,7.62,15.04,"",103.9,4.9614,"5.7634"
"2021-07-13","2021-07-14","From Snow Crab Survey","Avalon Voyager II","Allain; Moriyasu; Klandry",72,2,4,63.08,43.38,"orange",100,"orange","*1********","multiparous","3",47.77,28.53,32.23,56.49,32.86,40.88,45.5,7.44,14.13,"",88.4,1.8181,"5.5084"
"2021-07-13","2021-07-14","From Snow Crab Survey","Avalon Voyager II","Allain; Moriyasu; Klandry",73,2,4,58.56,40.51,"orange",100,"light orange","****1**1**","multiparous","1",47.29,28.43,31.02,51.89,24.84,25.11,46.85,6.88,12.93,"",62.9,1.3174,"4.9301"
"2021-07-13","2021-07-14","From Snow Crab Survey","Avalon Voyager II","Allain; Moriyasu; Klandry",74,2,4,55.77,37.74,"orange",100,"orange","****1*****","multiparous","1",46.57,29.33,30.86,54.43,31.78,38.41,43.41,8.64,11.47,"",67,1.0341,"4.243"
"2021-07-13","2021-07-14","From Snow Crab Survey","Avalon Voyager II","Allain; Moriyasu; Klandry",75,2,4,61.08,44.63,"orange",100,"orange","****1*****","multiparous","8",45.21,31.91,27.34,55.66,31.11,37.13,37.12,8.07,6.82,"",83.7,1.497,"4.9966"
